"feed.hab","feed.strat","breeding","migratory"
"omni","ground","foliage","migrant"
"omni","ground","building","migrant"
"omni","ground","ground","migrant"
"grani","ground","building","resident"
"grani","ground","scrub","resident"
"grani","ground","foliage","resident"
"insect","ground","scrub","migrant"
"insect","aerial","building","migrant"
"insect","ground","ground","resident"
"insect","aerial","building","migrant"
"insect","aerial","building","migrant"
"insect","ground","ground","migrant"
"omni","ground","building","resident"
"insect","ground","ground","migrant"
"insect","ground","ground","migrant"
"insect","ground","building","resident"
"insect","ground","building","migrant"
"insect","ground","scrub","migrant"
"omni","ground","scrub","resident"
"insect","foliage","scrub","migrant"
"insect","foliage","scrub","migrant"
"insect","foliage","scrub","resident"
"insect","foliage","scrub","migrant"
"insect","foliage","scrub","migrant"
"insect","foliage","building","resident"
"insect","foliage","building","resident"
"grani","ground","ground","resident"
"grani","ground","scrub","resident"
"grani","ground","building","resident"
"grani","ground","building","resident"
"grani","ground","foliage","resident"
"grani","ground","foliage","resident"
"grani","foliage","foliage","resident"
"grani","foliage","scrub","resident"
"grani","ground","foliage","resident"
"insect","ground","building","resident"
"omni","foliage","scrub","migrant"
"omni","ground","foliage","resident"
"omni","ground","building","resident"
"omni","ground","foliage","resident"
